Query	Subject	pident	length	mismatch	gaopen	qstart	qend	sstart	send	evalue	bitscore
Tc01v2_t006340.5	QUTB-5264	86.25	1040	133	9	211	1245	1	1035	0	1120
Tc03v2_t015980.2	OLXF_grafted_with_CZPV-5842	82.457	1294	208	13	125	1416	2	1278	0	1116
Tc09v2_t030010.1	OLXF-5664	87.721	961	112	1	202	1156	1	961	0	1116
Tc03v2_t027140.1	OLXF-6226	86.042	1046	136	5	325	1362	1	1044	0	1114
Tc09v2_t008730.2	WYIG-6238	87.949	946	112	2	589	1533	1	945	0	1114
Tc09v2_t019380.1	NUZN-5922	85.528	1071	149	4	820	1887	1	1068	0	1114
Tc09v2_t017440.3	WYIG-6978	89.612	876	91	0	217	1092	4	879	0	1114
Tc08v2_t002420.1	WYIG_grafted_with_NUZN-6139	88.42	924	107	0	187	1110	1	924	0	1114
Tc02v2_t003710.1	WYIG-5840	91.009	823	74	0	358	1180	1	823	0	1112
Tc09v2_t017120.1	WYIG-6859	87.423	978	110	11	102	1074	3	972	0	1112
Tc02v2_t003710.1	ZSAB-5840	90.942	828	66	1	358	1185	1	819	0	1107
Tc08v2_t002420.1	OLXF_grafted_with_NUZN-6139	88.203	924	109	0	187	1110	1	924	0	1103
Tc09v2_t019380.1	QUTB-5922	85.605	1049	151	0	846	1894	6	1054	0	1101
Tc05v2_t003910.1	QUTB-5366	82.8	1250	197	17	163	1403	1	1241	0	1101
Tc01v2_t026580.1	Theca-v1.1-7241	99.832	597	1	0	136	732	1	597	0	1098
Tc10v2_t010210.3	ZSAB_grafted_with_HENI-5528	83.844	1176	167	9	13	1187	1	1154	0	1098
Tc10v2_t010210.4	ZSAB_grafted_with_HENI-5528	83.844	1176	167	9	13	1187	1	1154	0	1098
Tc05v2_t004850.2	WYIG_grafted_with_BCAA-6667	88.521	906	102	2	679	1583	1	905	0	1096
Tc02v2_t021130.1	OLXF_grafted_with_GLVK-7174	80.735	1443	231	33	281	1710	2	1410	0	1092
Tc09v2_t008690.1	ZSAB_grafted_with_UZWG-5620	86.022	1023	135	4	696	1717	9	1024	0	1090
Tc03v2_t015980.1	OLXF_grafted_with_CZPV-5842	82.077	1300	208	14	125	1422	2	1278	0	1088
Tc04v2_t023690.1	WYIG_grafted_with_THHD-7128	85.261	1072	141	13	442	1506	4	1065	0	1088
Tc10v2_t010210.5	HENI-5528	86.405	993	135	0	1	993	352	1344	0	1086
Tc02v2_t024400.6	OLXF-5702	92.378	761	58	0	196	956	1	761	0	1085
Tc02v2_t024400.1	OLXF-5702	92.378	761	58	0	133	893	1	761	0	1085
Tc02v2_t024400.8	OLXF-5702	92.378	761	58	0	202	962	1	761	0	1085
Tc02v2_t024400.5	OLXF-5702	92.378	761	58	0	202	962	1	761	0	1085
Tc02v2_t024400.11	OLXF-5702	92.378	761	58	0	202	962	1	761	0	1085
Tc02v2_t024400.9	OLXF-5702	92.378	761	58	0	202	962	1	761	0	1085
Tc02v2_t024400.3	OLXF-5702	92.378	761	58	0	202	962	1	761	0	1085
Tc02v2_t024400.4	OLXF-5702	92.378	761	58	0	196	956	1	761	0	1085
Tc02v2_t024400.2	OLXF-5702	92.378	761	58	0	196	956	1	761	0	1085
Tc02v2_t024400.10	OLXF-5702	92.378	761	58	0	202	962	1	761	0	1085
Tc10v2_t010210.6	HENI-5528	86.853	966	127	0	46	1011	379	1344	0	1081
Tc10v2_t010210.7	HENI-5528	86.853	966	127	0	169	1134	379	1344	0	1081
Tc02v2_t009570.2	BCAA-6527	85.603	1028	148	0	218	1245	11	1038	0	1079
Tc02v2_t009570.1	BCAA-6527	85.603	1028	148	0	299	1326	11	1038	0	1079
Tc08v2_t006130.1	WYIG_grafted_with_HYZL-6450	87.676	925	114	0	631	1555	7	931	0	1077
Tc05v2_t020620.1	LVUS-5614	77.003	1935	412	29	79	1995	1	1920	0	1077
Tc05v2_t020620.2	LVUS-5614	77.003	1935	412	29	79	1995	1	1920	0	1077
Tc02v2_t005970.1	WYIG_grafted_with_GLVK-6572	87.8	918	112	0	139	1056	1	918	0	1075
Tc09v2_t008590.1	ZSAB_grafted_with_BHYC-5596	92.43	753	57	0	259	1011	1	753	0	1075
Tc06v2_t012090.1	ZSAB_grafted_with_BEFC-6533	91.443	783	67	0	264	1046	168	950	0	1075
Tc02v2_t005970.2	WYIG_grafted_with_GLVK-6572	87.956	905	109	0	2	906	14	918	0	1068
Tc06v2_t005470.1	WYIG_grafted_with_THHD-6320	89.43	842	81	6	933	1773	480	1314	0	1068
Tc01v2_t030690.4	WYIG-6393	91.293	781	66	2	134	913	2	781	0	1064
Tc01v2_t030690.1	WYIG-6393	91.293	781	66	2	134	913	2	781	0	1064
Tc01v2_t030690.2	WYIG-6393	91.293	781	66	2	134	913	2	781	0	1064
Tc01v2_t030690.3	WYIG-6393	91.293	781	66	2	134	913	2	781	0	1064
Tc09v2_t019380.1	UMUL-5922	79.904	1458	282	9	417	1870	3	1453	0	1059
Tc09v2_t028810.2	ZSAB_grafted_with_NUZN-6563	83.163	1176	180	11	172	1344	1	1161	0	1059
Tc09v2_t028810.1	ZSAB_grafted_with_NUZN-6563	83.163	1176	180	11	172	1344	1	1161	0	1059
Tc04v2_t018260.2	OLXF-4796	87.273	935	103	6	150	1082	15	935	0	1055
Tc04v2_t018260.1	OLXF-4796	87.273	935	103	6	168	1100	15	935	0	1055
Tc09v2_t008690.1	SVVG-5620	85.572	1005	145	0	713	1717	26	1030	0	1053
Tc01v2_t025080.1	ZSAB_grafted_with_WMUK-5138	90.476	798	76	0	124	921	1	798	0	1053
Tc07v2_t002430.1	QUTB-5770	84.762	1050	158	2	583	1631	148	1196	0	1051
Tc09v2_t020900.1	QUTB-5018	82.213	1220	215	2	171	1389	36	1254	0	1050
Tc03v2_t010210.1	OLXF_grafted_with_NUZN-6383	89.329	834	89	0	724	1557	139	972	0	1048
Tc08v2_t012630.1	Ambtr-5163	78.311	1646	339	13	37	1676	37	1670	0	1046
Tc04v2_t001710.1	WYIG_grafted_with_YKQR-5454	84.173	1112	137	22	440	1524	56	1155	0	1042
Tc02v2_t009570.1	ZSSR-6527	81.332	1291	233	8	34	1320	22	1308	0	1042
Tc05v2_t020430.1	QUTB-5865	83.001	1153	194	2	1168	2319	205	1356	0	1042
Tc05v2_t020430.2	QUTB-5865	83.001	1153	194	2	1186	2337	205	1356	0	1042
Tc03v2_t001070.1	WYIG-5032	87.637	914	89	13	694	1598	1	899	0	1040
Tc08v2_t009430.1	UZWG-6363	82.933	1166	186	9	538	1692	1	1164	0	1038
Tc09v2_t003720.1	CWZU-6038	84.026	1083	165	8	355	1433	1	1079	0	1035
Tc05v2_t015220.1	ZSAB_grafted_with_VYGG-6258	88.31	864	98	2	310	1170	4	867	0	1033
Tc03v2_t026690.1	OLXF_grafted_with_VUSY-6098	89.307	823	86	2	694	1515	664	1485	0	1031
Tc09v2_t008690.1	UZWG-5620	84.848	1023	155	0	695	1717	8	1030	0	1031
Tc05v2_t007700.2	WYIG-5421	90.318	785	73	1	623	1407	392	1173	0	1029
Tc05v2_t015220.1	OLXF-6258	88.695	858	76	11	256	1113	1	837	0	1029
Tc05v2_t007700.1	WYIG-5421	90.318	785	73	1	623	1407	392	1173	0	1029
Tc02v2_t012400.1	JGYZ-6176	80.144	1385	267	8	137	1517	20	1400	0	1027
Tc06v2_t010430.2	THHD-6544	83.117	1155	165	16	1502	2651	1108	2237	0	1026
Tc06v2_t003180.1	WYIG_grafted_with_NHUA-5899	82.944	1155	180	12	151	1301	1	1142	0	1026
Tc06v2_t003180.2	WYIG_grafted_with_NHUA-5899	82.944	1155	180	12	151	1301	1	1142	0	1026
Tc09v2_t021590.2	NUZN-5913	84.675	1031	153	4	217	1246	13	1039	0	1024
Tc09v2_t021590.4	NUZN-5913	84.675	1031	153	4	217	1246	13	1039	0	1024
Tc09v2_t021590.1	NUZN-5913	84.675	1031	153	4	217	1246	13	1039	0	1024
Tc09v2_t021590.3	NUZN-5913	84.675	1031	153	4	217	1246	13	1039	0	1024
Tc05v2_t008970.1	OLXF-5945	93.094	695	48	0	37	731	1	695	0	1018
Tc06v2_t003370.6	ATFX-6216	86.073	955	121	6	186	1137	3	948	0	1016
Tc07v2_t001300.1	ZSAB_grafted_with_HQRJ-5449	84.106	1057	158	8	217	1268	1	1052	0	1013
Tc04v2_t015240.4	WYIG_grafted_with_HQRJ-6387	89.149	811	88	0	239	1049	2	812	0	1011
Tc04v2_t015240.3	WYIG_grafted_with_HQRJ-6387	89.149	811	88	0	239	1049	2	812	0	1011
Tc04v2_t015240.2	WYIG_grafted_with_HQRJ-6387	89.149	811	88	0	239	1049	2	812	0	1011
Tc04v2_t015240.1	WYIG_grafted_with_HQRJ-6387	89.149	811	88	0	164	974	2	812	0	1011
Tc05v2_t020430.3	OLXF-5865	87.731	864	106	0	1423	2286	493	1356	0	1009
Tc05v2_t020430.1	OLXF-5865	87.731	864	106	0	1474	2337	493	1356	0	1009
Tc05v2_t020430.2	OLXF-5865	87.731	864	106	0	1492	2355	493	1356	0	1009
Tc03v2_t009010.1	BZDF-6119	74.989	2271	525	36	217	2464	1	2251	0	1007
Tc02v2_t022020.1	ZSAB-6026	90.116	779	71	3	196	974	1	773	0	1007
Tc10v2_t008650.1	Vitvi-Genoscope.12X-5816	79.857	1400	265	13	234	1623	3	1395	0	1007
Tc02v2_t009570.2	ZSSR-6527	81.335	1243	224	8	1	1239	70	1308	0	1003
Tc09v2_t020900.1	BFJL-5018	81.633	1225	211	10	175	1389	1	1221	0	1003
Tc01v2_t023330.2	ZRIN-5406	81.75	1200	219	0	553	1752	1	1200	0	1003
Tc01v2_t002170.1	HAEU-5599	85.774	949	133	2	538	1485	250	1197	0	1003
Tc01v2_t023330.1	ZRIN-5406	81.75	1200	219	0	961	2160	1	1200	0	1003
Tc04v2_t011880.1	INSP-6016	86.159	932	122	5	228	1154	36	965	0	1000
Tc03v2_t026690.1	QSKP-6098	79.843	1399	256	22	117	1502	36	1421	0	998
Tc02v2_t001450.1	WYIG_grafted_with_NUZN-4527	83.913	1063	148	3	385	1446	1	1041	0	994
Tc02v2_t001450.2	WYIG_grafted_with_NUZN-4527	83.913	1063	148	3	385	1446	1	1041	0	994
Tc08v2_t010990.1	WYIG_grafted_with_YUOM-5981	86.952	889	109	7	190	1075	1	885	0	994
Tc06v2_t003370.6	WYIG_grafted_with_PAZJ-6216	88.537	820	94	0	316	1135	1	820	0	994
Tc09v2_t016900.3	ZSAB_grafted_with_HYZL-4932	84.839	996	140	10	141	1131	10	999	0	992
Tc09v2_t016900.2	ZSAB_grafted_with_HYZL-4932	84.839	996	140	10	141	1131	10	999	0	992
Tc01v2_t034410.1	WYIG-4989	92.952	681	48	0	316	996	1	681	0	992
Tc02v2_t022020.1	OLXF-6026	88.834	806	90	0	190	995	1	806	0	990
Tc08v2_t012630.1	HAEU-5163	84.913	981	146	2	136	1115	1	980	0	990
Tc01v2_t018910.1	HYZL-6036	87.115	877	110	2	347	1223	302	1175	0	990
Tc04v2_t023930.1	OMDH-5339	78.364	1553	315	13	421	1964	1	1541	0	987
Tc08v2_t002420.1	NUZN-6139	85.931	924	130	0	187	1110	1	924	0	987
Tc05v2_t001760.1	WYIG-6685	90.728	755	49	2	94	827	1	755	0	987
Tc09v2_t007800.2	OLXF_grafted_with_HAEU-6050	90.013	761	76	0	484	1244	1	761	0	985
Tc09v2_t007800.1	OLXF_grafted_with_HAEU-6050	90.013	761	76	0	310	1070	1	761	0	985
Tc02v2_t013560.1	DXQW-6913	85.745	933	128	5	304	1233	3	933	0	981
Tc02v2_t013560.2	DXQW-6913	85.745	933	128	5	304	1233	3	933	0	981
Tc09v2_t020490.2	WYIG-6072	93.485	660	43	0	241	900	1	660	0	981
Tc01v2_t023330.2	Arath-5406	81.395	1204	222	2	553	1755	295	1497	0	981
Tc01v2_t023330.1	Arath-5406	81.395	1204	222	2	961	2163	295	1497	0	981
Tc05v2_t011290.1	WYIG-5038	91.989	699	56	0	592	1290	1	699	0	981
Tc05v2_t011290.2	WYIG-5038	91.989	699	56	0	595	1293	1	699	0	981
Tc09v2_t023470.2	NUZN-6462	88.75	800	90	0	91	890	1	800	0	979
Tc09v2_t015350.1	WYIG-6404	92.762	677	49	0	1	677	1	677	0	979
Tc07v2_t001300.1	VUSY-5449	82.805	1105	179	6	154	1254	13	1110	0	977
Tc08v2_t010990.1	ZSAB_grafted_with_YUOM-5981	86.532	891	115	5	190	1078	1	888	0	976
Tc01v2_t010170.1	NHUA-7029	86.689	879	117	0	19	897	4	882	0	976
Tc09v2_t020390.2	WYIG-5821	93.808	646	38	2	94	738	1	645	0	970
Tc09v2_t020390.1	WYIG-5821	93.808	646	38	2	94	738	1	645	0	970
Tc10v2_t010210.5	DFYF-5528	83.538	1057	154	9	1	1053	352	1392	0	970
Tc05v2_t011290.1	ZSAB-5038	91.714	700	56	2	592	1290	1	699	0	970
Tc05v2_t011290.2	ZSAB-5038	91.714	700	56	2	595	1293	1	699	0	970
Tc07v2_t001300.1	HQRJ-5449	83.349	1057	166	8	217	1268	1	1052	0	968
Tc01v2_t031970.1	HAEU-5502	84.848	957	145	0	439	1395	1	957	0	965
Tc01v2_t020490.5	WYIG-6459	89.761	752	77	0	217	968	1	752	0	963
Tc01v2_t020490.4	WYIG-6459	89.761	752	77	0	217	968	1	752	0	963
Tc01v2_t020490.3	WYIG-6459	89.761	752	77	0	217	968	1	752	0	963
Tc01v2_t020490.2	WYIG-6459	89.761	752	77	0	217	968	1	752	0	963
Tc01v2_t020490.1	WYIG-6459	89.761	752	77	0	217	968	1	752	0	963
Tc08v2_t006130.1	HYZL-6450	85.405	925	135	0	631	1555	7	931	0	961
Tc01v2_t026590.2	ZSAB_grafted_with_QUTB-5634	85.931	924	103	11	196	1119	4	900	0	961
Tc01v2_t026590.1	ZSAB_grafted_with_QUTB-5634	85.931	924	103	11	196	1119	4	900	0	961
Tc01v2_t034970.2	WYIG_grafted_with_QUTB-5721	90.314	733	71	0	361	1093	1	733	0	961
Tc09v2_t025370.1	ZSAB-5188	91.102	708	63	0	1	708	1	708	0	959
Tc08v2_t005670.2	WYIG_grafted_with_HLJG-5551	87.805	820	96	4	370	1187	1	818	0	957
Tc09v2_t007220.1	ZSAB-5859	91.392	697	60	0	172	868	1	697	0	955
Tc09v2_t003720.1	YKQR-6038	83.71	1019	158	8	355	1369	1	1015	0	955
Tc05v2_t015220.1	VYGG-6258	86.621	867	113	3	310	1173	4	870	0	955
Tc07v2_t010820.1	OLXF_grafted_with_VYGG-6051	85.329	927	130	6	550	1473	4	927	0	953
Tc02v2_t015670.1	INQX-5335	82.477	1090	187	3	1	1088	1	1088	0	952
Tc01v2_t003360.1	ZSAB-6496	91.801	683	56	0	1	683	1	683	0	952
Tc10v2_t010210.6	DFYF-5528	83.673	1029	148	9	47	1071	380	1392	0	952
Tc10v2_t010210.7	DFYF-5528	83.673	1029	148	9	170	1194	380	1392	0	952
Tc06v2_t003370.3	ATFX-6216	85.969	898	114	6	186	1080	3	891	0	950
Tc03v2_t010730.1	Theca-v1.1-7028	100	513	0	0	166	678	1	513	0	948
Tc04v2_t017790.1	FYTP-6458	87.17	834	107	0	532	1365	1	834	0	948
Tc04v2_t017790.2	FYTP-6458	87.17	834	107	0	526	1359	1	834	0	948
Tc01v2_t006340.5	Arath-5264	78.137	1546	301	31	1	1535	1	1520	0	948
Tc10v2_t005720.1	WYIG_grafted_with_NUZN-5427	87.7	813	100	0	448	1260	1	813	0	948
Tc10v2_t005720.2	WYIG_grafted_with_NUZN-5427	87.7	813	100	0	445	1257	1	813	0	948
Tc01v2_t034970.1	WYIG_grafted_with_QUTB-5721	89.946	736	71	1	361	1096	1	733	0	946
Tc03v2_t010210.2	WYIG_grafted_with_NUZN-6383	90.443	722	61	5	684	1401	99	816	0	944
Tc08v2_t009430.1	ZSAB_grafted_with_HLJG-6363	82.743	1072	174	10	625	1692	10	1074	0	944
Tc10v2_t010210.2	NTEO-5528	81.51	1152	209	4	209	1358	56	1205	0	944
Tc10v2_t010210.1	NTEO-5528	81.51	1152	209	4	209	1358	56	1205	0	944
Tc08v2_t014580.1	THHD-5273	84.407	962	147	3	865	1824	627	1587	0	942
Tc08v2_t014580.2	THHD-5273	84.407	962	147	3	865	1824	627	1587	0	942
Tc01v2_t022000.3	WYIG-6376	91.753	679	54	2	67	744	1	678	0	942
Tc04v2_t004910.1	ZSAB_grafted_with_NXOH-4954	88.976	762	83	1	630	1391	4	764	0	941
Tc01v2_t002170.1	SLYR-5599	84.615	949	142	3	538	1484	247	1193	0	941
Tc08v2_t006130.1	IEPQ-6450	80.366	1258	229	16	263	1511	5	1253	0	939
Tc05v2_t008600.1	ZSAB-6914	89.609	741	74	2	520	1257	1	741	0	939
Tc02v2_t001560.3	OLXF_grafted_with_TIUZ-7331	85.414	905	127	3	213	1113	3	906	0	935
Tc06v2_t005470.1	THHD-6320	86.77	839	107	4	937	1773	484	1320	0	931
Tc03v2_t026690.1	Arath-6098	78.162	1502	298	25	16	1507	1	1482	0	929
Tc09v2_t023470.1	NUZN-6462	87.562	812	89	2	91	902	1	800	0	929
Tc01v2_t002790.1	WYIG_grafted_with_VVPY-5639	85.894	872	123	0	196	1067	1	872	0	929
Tc06v2_t003370.3	WYIG_grafted_with_PAZJ-6216	88.512	766	88	0	316	1081	1	766	0	928
Tc03v2_t010210.1	NUZN-6383	86.691	834	111	0	724	1557	139	972	0	926
Tc03v2_t026760.1	Theca-v1.1-5123	99.412	510	3	0	1	510	814	1323	0	926
Tc07v2_t001300.1	OLXF_grafted_with_UPZX-5449	81.674	1135	187	10	144	1272	3	1122	0	926
Tc09v2_t016900.3	HYZL-4932	83.618	995	154	9	141	1131	10	999	0	926
Tc09v2_t016900.2	HYZL-4932	83.618	995	154	9	141	1131	10	999	0	926
Tc04v2_t003090.1	ZSAB-6150	91.395	674	58	0	238	911	1	674	0	924
Tc02v2_t008790.2	ZSAB-5870	90.751	692	64	0	56	747	2	693	0	924
Tc08v2_t004900.1	OLXF_grafted_with_HYZL-5841	88.312	770	90	0	31	800	1	770	0	924
Tc02v2_t001560.1	OLXF_grafted_with_TIUZ-7331	85.193	905	126	5	213	1110	3	906	0	922
Tc05v2_t007700.2	VYGG-5421	84.591	941	131	12	623	1559	230	1160	0	922
Tc05v2_t007700.1	VYGG-5421	84.591	941	131	12	623	1559	230	1160	0	922
Tc09v2_t009820.1	ZSAB-6376	91.48	669	57	0	511	1179	1	669	0	920
Tc09v2_t009820.2	ZSAB-6376	91.48	669	57	0	235	903	1	669	0	920
Tc06v2_t002870.1	ZSAB_grafted_with_VYGG-5296	89.532	726	76	0	448	1173	1	726	0	920
Tc06v2_t012090.1	WYIG_grafted_with_HBHB-6533	87.771	785	96	0	104	888	5	789	0	918
Tc10v2_t005230.1	WYIG_grafted_with_CKKR-5926	88.197	771	89	2	199	968	1	770	0	918
Tc04v2_t001710.1	BCAA-5454	87.437	796	100	0	720	1515	384	1179	0	917
Tc04v2_t014020.2	WYIG_grafted_with_TJLC-5131	89.972	708	71	0	439	1146	1	708	0	915
Tc04v2_t001710.1	YKQR-5454	82.12	1113	158	24	440	1524	56	1155	0	915
Tc10v2_t010210.5	ZSAB_grafted_with_HENI-5528	87.221	806	100	1	1	806	352	1154	0	915
Tc05v2_t004850.2	OLXF_grafted_with_BCAA-6667	86.066	854	116	2	731	1581	11	864	0	915
Tc04v2_t000800.1	QXWF-6487	80.179	1226	237	6	256	1478	1	1223	0	913
Tc09v2_t007800.2	HAEU-6050	88.32	762	87	2	484	1244	1	761	0	913
Tc09v2_t007800.1	HAEU-6050	88.32	762	87	2	310	1070	1	761	0	913
Tc03v2_t016700.1	ZSAB-6488	88.579	753	83	1	256	1005	1	753	0	911
Tc10v2_t010210.6	ZSAB_grafted_with_HENI-5528	87.805	779	92	1	46	824	379	1154	0	909
Tc10v2_t010210.7	ZSAB_grafted_with_HENI-5528	87.805	779	92	1	169	947	379	1154	0	909
Tc03v2_t026370.1	ZSAB-5974	90.23	696	66	2	199	893	1	695	0	907
Tc03v2_t007040.4	ZSAB-6631	87.642	793	81	5	139	930	4	780	0	905
Tc01v2_t002790.1	ZSAB-5639	91.265	664	58	0	206	869	11	674	0	905
Tc10v2_t005230.1	ZSAB_grafted_with_UVDC-5926	86.49	829	106	2	133	958	1	826	0	905
Tc08v2_t005670.1	WYIG_grafted_with_HLJG-5551	87.758	776	91	4	312	1085	45	818	0	904
Tc08v2_t014310.1	WWKL-6029	88.649	740	84	0	182	921	2	741	0	902
Tc08v2_t012020.1	OLXF-5257	87.264	793	98	2	97	886	1	793	0	902
Tc01v2_t022000.2	WYIG-6376	92.175	639	48	2	67	704	1	638	0	902
Tc09v2_t021390.1	ZSAB-5815	90.469	682	63	2	7	687	1	681	0	900
Tc06v2_t005470.1	OLXF-6320	87.942	763	92	0	1011	1773	528	1290	0	900
Tc07v2_t003090.1	WYIG-5822	87.356	783	99	0	262	1044	1	783	0	898
Tc07v2_t001300.1	WYIG_grafted_with_SLYR-5449	82.203	1062	172	13	215	1269	2	1053	0	898
Tc02v2_t015670.1	NUZN-5335	85.714	854	118	4	505	1356	1	852	0	898
Tc02v2_t013560.1	VVPY-6913	85.969	841	116	2	394	1233	1	840	0	898
Tc02v2_t013560.2	VVPY-6913	85.969	841	116	2	394	1233	1	840	0	898
Tc02v2_t005020.2	WYIG_grafted_with_THHD-5960	83.101	1006	148	17	355	1355	1	989	0	896
Tc06v2_t004750.1	THHD-6405	84.498	916	132	8	82	992	1	911	0	896
Tc06v2_t004750.2	THHD-6405	84.498	916	132	8	82	992	1	911	0	896
Tc03v2_t007230.1	ZSAB-7572	88.322	745	87	0	171	915	6	750	0	894
Tc01v2_t034970.2	OLXF-5721	88.235	731	77	1	361	1091	1	722	0	894
Tc05v2_t001760.1	OLXF_grafted_with_FYTP-6685	92.114	634	50	0	82	715	1	634	0	894
Tc05v2_t019760.1	ZSAB-5857	91.311	656	54	1	169	824	1	653	0	894
Tc03v2_t007040.1	ZSAB-6631	88.089	764	76	3	2	765	32	780	0	893
Tc09v2_t021390.1	WYIG_grafted_with_THHD-5815	90.413	678	65	0	10	687	1	678	0	893
Tc09v2_t021390.1	OLXF-5815	91.298	655	55	2	6	659	3	656	0	893
Tc01v2_t017390.3	ZSAB-6000	93.103	609	42	0	256	864	1	609	0	893
Tc01v2_t017390.6	ZSAB-6000	93.103	609	42	0	202	810	1	609	0	893
Tc01v2_t017390.5	ZSAB-6000	93.103	609	42	0	256	864	1	609	0	893
Tc01v2_t017390.8	ZSAB-6000	93.103	609	42	0	223	831	1	609	0	893
Tc01v2_t017390.7	ZSAB-6000	93.103	609	42	0	208	816	1	609	0	893
Tc01v2_t017390.4	ZSAB-6000	93.103	609	42	0	256	864	1	609	0	893
Tc02v2_t028720.1	ZSAB_grafted_with_HAEU-6979	88.394	741	83	3	166	903	1	741	0	889
Tc04v2_t006900.1	YBML-5921	75.401	1931	424	47	1828	3734	1594	3497	0	887
Tc04v2_t006900.2	YBML-5921	75.401	1931	424	47	1828	3734	1594	3497	0	887
Tc01v2_t025170.1	WOHL-6041	80.251	1195	223	8	1025	2217	56	1239	0	887
Tc01v2_t025170.2	WOHL-6041	80.251	1195	223	8	1025	2217	56	1239	0	887
Tc01v2_t017390.2	ZSAB-6000	93.069	606	42	0	256	861	1	606	0	887
Tc01v2_t034970.1	OLXF-5721	88.011	734	76	3	361	1094	1	722	0	887
Tc06v2_t010430.2	WYIG_grafted_with_THHD-6544	83.595	957	146	11	564	1513	21	973	0	887
Tc06v2_t010430.2	OLXF_grafted_with_THHD-6544	83.595	957	146	11	564	1513	21	973	0	887
Tc06v2_t010430.2	ZSAB_grafted_with_THHD-6544	83.595	957	146	11	564	1513	21	973	0	887
Tc06v2_t010430.2	THHD-6544	83.595	957	146	11	564	1513	21	973	0	887
Tc04v2_t018900.1	WYIG-5318	93.467	597	37	2	227	822	5	600	0	885
Tc04v2_t023690.1	ZSAB_grafted_with_THHD-7128	81.793	1071	180	11	442	1506	4	1065	0	883
Tc06v2_t003370.6	PAZJ-6216	86.098	820	114	0	316	1135	1	820	0	883
Tc05v2_t001760.1	ZSAB_grafted_with_JTQQ-6685	88.243	740	85	2	82	820	1	739	0	883
Tc02v2_t008790.2	OLXF-5870	89.695	689	59	4	56	744	2	678	0	881
Tc06v2_t009730.2	WYIG_grafted_with_THHD-6660	87.533	762	95	0	133	894	1	762	0	881
Tc04v2_t015390.2	WYIG-7279	89.347	704	69	4	266	969	5	702	0	880
Tc03v2_t010560.1	OLXF_grafted_with_VUSY-5644	83.654	936	147	6	289	1221	1	933	0	876
Tc02v2_t012400.1	WOHL-6176	81.137	1108	195	10	137	1234	20	1123	0	876
Tc03v2_t007230.1	WYIG-7572	87.903	744	87	1	172	915	1	741	0	872
Tc10v2_t010210.3	NTEO-5528	80.427	1170	207	10	209	1376	56	1205	0	872
Tc10v2_t010210.4	NTEO-5528	80.427	1170	207	10	209	1376	56	1205	0	872
Tc10v2_t008650.1	ZSAB_grafted_with_SLYR-5816	78.624	1352	262	25	286	1622	22	1361	0	870
Tc04v2_t000800.1	Arath-6487	79.527	1226	245	6	256	1478	1	1223	0	869
Tc04v2_t010850.1	WYIG-5513	86.607	784	105	0	222	1005	3	786	0	867
Tc02v2_t005970.1	GLVK-6572	83.642	917	150	0	139	1055	1	917	0	863
Tc10v2_t005720.1	NUZN-5427	85.837	812	115	0	448	1259	1	812	0	863
Tc10v2_t005720.2	NUZN-5427	85.837	812	115	0	445	1256	1	812	0	863
Tc05v2_t004850.2	BCAA-6667	84.947	857	124	4	731	1583	11	866	0	863
Tc05v2_t014530.1	BCAA-6448	84.66	867	131	2	341	1206	5	870	0	863
Tc02v2_t009570.2	BHYC-6527	81.096	1095	191	15	149	1235	47	1133	0	861
Tc02v2_t009570.1	BHYC-6527	81.096	1095	191	15	230	1316	47	1133	0	861
Tc09v2_t020490.1	WYIG-6072	93.31	583	39	0	241	823	1	583	0	861
Tc04v2_t023690.1	THHD-7128	81.485	1064	182	11	442	1499	4	1058	0	859
Tc09v2_t029120.3	Ambtr-5280	79.137	1251	255	6	28	1275	22	1269	0	859
Tc09v2_t029120.2	Ambtr-5280	79.137	1251	255	6	28	1275	22	1269	0	859
Tc09v2_t029120.1	Ambtr-5280	79.137	1251	255	6	28	1275	22	1269	0	859
Tc09v2_t029120.4	Ambtr-5280	79.137	1251	255	6	28	1275	22	1269	0	859
Tc05v2_t019760.1	OLXF-5857	90.259	657	64	0	169	825	1	657	0	859
Tc04v2_t017050.1	OLXF_grafted_with_HAEU-6460	83.566	931	136	13	406	1329	1	921	0	856
Tc04v2_t017050.2	OLXF_grafted_with_HAEU-6460	83.566	931	136	13	406	1329	1	921	0	856
Tc02v2_t003710.1	THHD-5840	85.627	814	117	0	358	1171	1	814	0	856
Tc02v2_t005970.2	GLVK-6572	83.739	904	147	0	2	905	14	917	0	856
Tc02v2_t005020.1	WYIG_grafted_with_THHD-5960	85.505	821	115	4	355	1173	1	819	0	854
Tc02v2_t001560.2	OLXF_grafted_with_TIUZ-7331	85.627	814	111	4	213	1022	3	814	0	850
Tc03v2_t026690.1	OLXF_grafted_with_VUSY-6098	91.438	619	52	1	15	633	1	618	0	848
Tc04v2_t015390.1	NUZN-7279	83.388	915	150	2	259	1172	1	914	0	846
Tc08v2_t012630.1	LKKX-5163	80.608	1119	197	8	32	1149	2	1101	0	846
Tc02v2_t030670.1	OLXF-5853	90.248	646	63	0	24	669	24	669	0	845
Tc05v2_t011800.1	OLXF-6265	88.462	702	75	1	19	720	1	696	0	845
Tc05v2_t000730.1	SLYR-6924	80.14	1143	217	10	304	1441	13	1150	0	845
