Query	Subject	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
OLXF_grafted_with_MVSE-6450	Tc08v2_t006130.1	86.167	1294	177	2	4	1296	262	1554	0	1397
Ambtr-4691	Tc03v2_t016780.1	77.778	504	112	0	2	505	170	673	4.26E-84	311
QUTB-4691	Tc03v2_t016780.1	85.771	506	72	0	1	506	169	674	6.45E-152	536
THHD-4691	Tc03v2_t016780.1	87.363	546	69	0	1	546	169	714	3.72E-179	627
UMUL-4691	Tc03v2_t016780.1	82.129	498	89	0	1	498	169	666	4.05E-119	427
WYIG-4691	Tc03v2_t016780.1	87.755	539	66	0	1	539	169	707	2.88E-180	630
NUZN-5104	Tc01v2_t026780.2	86.364	396	54	0	31	426	208	603	6.72E-121	433
ZSSR-5104	Tc01v2_t026780.2	86.737	377	49	1	32	407	208	584	1.9E-116	418
OLXF-5104	Tc01v2_t026780.2	88.276	435	51	0	1	435	169	603	1.43E-147	521
OQHZ-6432	Tc01v2_t023770.1	87.77	417	51	0	47	463	263	679	1.55E-137	488
UMUL-6432	Tc01v2_t023770.1	82.423	421	71	2	44	461	254	674	2.75E-100	364
ZSAB_grafted_with_FYTP-6432	Tc01v2_t023770.1	88.084	428	50	1	44	470	254	681	4.34E-143	507
UMUL-5138	Tc01v2_t025080.1	80.645	558	104	3	20	575	95	650	1.46E-119	429
WMUK-5138	Tc01v2_t025080.1	88.74	524	59	0	1	524	124	647	0	641
OLXF-5138	Tc01v2_t025080.1	90.931	849	77	0	1	849	73	921	0	1142
ZSAB_grafted_with_WMUK-5138	Tc01v2_t025080.1	90.476	798	76	0	1	798	124	921	0	1053
WYIG-6459	Tc01v2_t020490.1	89.761	752	77	0	1	752	217	968	0	963
WYIG-6459	Tc01v2_t020490.2	89.761	752	77	0	1	752	217	968	0	963
WYIG-6459	Tc01v2_t020490.3	89.761	752	77	0	1	752	217	968	0	963
WYIG-6459	Tc01v2_t020490.4	89.761	752	77	0	1	752	217	968	0	963
WYIG-6459	Tc01v2_t020490.5	89.761	752	77	0	1	752	217	968	0	963
FYTP-5702	Tc02v2_t024400.7	85.913	575	79	2	198	771	483	1056	1.49E-174	612
FYTP-5702	Tc02v2_t024400.10	86.825	463	59	2	198	659	483	944	1.2E-145	516
FYTP-5702	Tc02v2_t024400.2	86.825	463	59	2	198	659	477	938	1.2E-145	516
FYTP-5702	Tc02v2_t024400.4	86.825	463	59	2	198	659	477	938	1.2E-145	516
FYTP-5702	Tc02v2_t024400.3	86.825	463	59	2	198	659	483	944	1.2E-145	516
FYTP-5702	Tc02v2_t024400.9	86.825	463	59	2	198	659	483	944	1.2E-145	516
FYTP-5702	Tc02v2_t024400.11	86.825	463	59	2	198	659	483	944	1.2E-145	516
FYTP-5702	Tc02v2_t024400.5	86.825	463	59	2	198	659	483	944	1.2E-145	516
FYTP-5702	Tc02v2_t024400.8	86.825	463	59	2	198	659	483	944	1.2E-145	516
FYTP-5702	Tc02v2_t024400.1	86.825	463	59	2	198	659	414	875	1.2E-145	516
FYTP-5702	Tc02v2_t024400.6	86.825	463	59	2	198	659	477	938	1.2E-145	516
UMUL-5702	Tc02v2_t024400.7	82.783	575	97	2	198	771	483	1056	1.56E-144	512
UMUL-5702	Tc02v2_t024400.10	82.947	475	79	2	198	671	483	956	5.8E-119	427
UMUL-5702	Tc02v2_t024400.2	82.947	475	79	2	198	671	477	950	5.8E-119	427
UMUL-5702	Tc02v2_t024400.4	82.947	475	79	2	198	671	477	950	5.8E-119	427
UMUL-5702	Tc02v2_t024400.3	82.947	475	79	2	198	671	483	956	5.8E-119	427
UMUL-5702	Tc02v2_t024400.9	82.947	475	79	2	198	671	483	956	5.8E-119	427
UMUL-5702	Tc02v2_t024400.11	82.947	475	79	2	198	671	483	956	5.8E-119	427
UMUL-5702	Tc02v2_t024400.5	82.947	475	79	2	198	671	483	956	5.8E-119	427
UMUL-5702	Tc02v2_t024400.8	82.947	475	79	2	198	671	483	956	5.8E-119	427
UMUL-5702	Tc02v2_t024400.1	82.947	475	79	2	198	671	414	887	5.8E-119	427
UMUL-5702	Tc02v2_t024400.6	82.947	475	79	2	198	671	477	950	5.8E-119	427
WVEF-5702	Tc02v2_t024400.7	84.348	575	88	2	195	768	483	1056	1.52E-159	562
WVEF-5702	Tc02v2_t024400.10	84.632	475	71	2	195	668	483	956	2.63E-132	472
WVEF-5702	Tc02v2_t024400.2	84.632	475	71	2	195	668	477	950	2.63E-132	472
WVEF-5702	Tc02v2_t024400.4	84.632	475	71	2	195	668	477	950	2.63E-132	472
WVEF-5702	Tc02v2_t024400.3	84.632	475	71	2	195	668	483	956	2.63E-132	472
WVEF-5702	Tc02v2_t024400.9	84.632	475	71	2	195	668	483	956	2.63E-132	472
WVEF-5702	Tc02v2_t024400.11	84.632	475	71	2	195	668	483	956	2.63E-132	472
WVEF-5702	Tc02v2_t024400.5	84.632	475	71	2	195	668	483	956	2.63E-132	472
WVEF-5702	Tc02v2_t024400.8	84.632	475	71	2	195	668	483	956	2.63E-132	472
WVEF-5702	Tc02v2_t024400.1	84.632	475	71	2	195	668	414	887	2.63E-132	472
WVEF-5702	Tc02v2_t024400.6	84.632	475	71	2	195	668	477	950	2.63E-132	472
OLXF-5702	Tc02v2_t024400.7	91.93	855	69	0	1	855	202	1056	0	1197
OLXF-5702	Tc02v2_t024400.10	92.378	761	58	0	1	761	202	962	0	1085
OLXF-5702	Tc02v2_t024400.2	92.378	761	58	0	1	761	196	956	0	1085
OLXF-5702	Tc02v2_t024400.4	92.378	761	58	0	1	761	196	956	0	1085
OLXF-5702	Tc02v2_t024400.3	92.378	761	58	0	1	761	202	962	0	1085
OLXF-5702	Tc02v2_t024400.9	92.378	761	58	0	1	761	202	962	0	1085
OLXF-5702	Tc02v2_t024400.11	92.378	761	58	0	1	761	202	962	0	1085
OLXF-5702	Tc02v2_t024400.5	92.378	761	58	0	1	761	202	962	0	1085
OLXF-5702	Tc02v2_t024400.8	92.378	761	58	0	1	761	202	962	0	1085
OLXF-5702	Tc02v2_t024400.1	92.378	761	58	0	1	761	133	893	0	1085
OLXF-5702	Tc02v2_t024400.6	92.378	761	58	0	1	761	196	956	0	1085
QTJY-6914	Tc05v2_t008600.1	78.15	746	147	14	1	738	520	1257	5.51E-129	460
ZSAB-6914	Tc05v2_t008600.1	89.609	741	74	2	1	741	520	1257	0	939
HAEU-5599	Tc01v2_t002170.1	85.774	949	133	2	250	1197	538	1485	0	1003
SLYR-5599	Tc01v2_t002170.1	84.615	949	142	3	247	1193	538	1484	0	941
TEZA-5599	Tc01v2_t002170.1	79.036	954	187	11	249	1194	537	1485	0	641
OLXF-5599	Tc01v2_t002170.1	90.236	1946	190	0	1	1946	238	2183	0	2542
WYIG_grafted_with_HAEU-5599	Tc01v2_t002170.1	91.266	1248	109	0	1	1248	238	1485	0	1701
Arath-6487	Tc04v2_t000800.1	79.527	1226	245	6	1	1223	256	1478	0	869
QXWF-6487	Tc04v2_t000800.1	80.179	1226	237	6	1	1223	256	1478	0	913
WYIG-6487	Tc04v2_t000800.1	91.474	1560	133	0	1	1560	334	1893	0	2145
OLXF_grafted_with_QAUE-6487	Tc04v2_t000800.1	88.459	1655	172	9	1	1653	256	1893	0	1984
EDXZ-5273	Tc08v2_t014580.2	76.502	949	217	5	642	1587	879	1824	3.26E-144	512
EDXZ-5273	Tc08v2_t014580.1	76.502	949	217	5	642	1587	879	1824	3.26E-144	512
THHD-5273	Tc08v2_t014580.2	84.407	962	147	3	627	1587	865	1824	0	942
THHD-5273	Tc08v2_t014580.2	87.167	600	77	0	1	600	1	600	0	682
THHD-5273	Tc08v2_t014580.1	84.407	962	147	3	627	1587	865	1824	0	942
THHD-5273	Tc08v2_t014580.1	87.167	600	77	0	1	600	1	600	0	682
YZVJ-5273	Tc08v2_t014580.2	80.967	972	158	17	16	963	856	1824	0	745
YZVJ-5273	Tc08v2_t014580.1	80.967	972	158	17	16	963	856	1824	0	745
ZSAB-5273	Tc08v2_t014580.2	90.641	951	89	0	409	1359	850	1800	0	1264
ZSAB-5273	Tc08v2_t014580.2	88.052	385	46	0	1	385	205	589	1.32E-127	457
ZSAB-5273	Tc08v2_t014580.1	90.641	951	89	0	409	1359	850	1800	0	1264
ZSAB-5273	Tc08v2_t014580.1	88.052	385	46	0	1	385	205	589	1.32E-127	457
WYIG_grafted_with_THHD-5960	Tc02v2_t005020.2	83.101	1006	148	17	1	989	355	1355	0	896
WYIG_grafted_with_THHD-5960	Tc02v2_t005020.1	85.505	821	115	4	1	819	355	1173	0	854
FVXD-5913	Tc09v2_t021590.3	79.574	563	115	0	5	567	482	1044	9.74E-112	403
FVXD-5913	Tc09v2_t021590.1	79.574	563	115	0	5	567	482	1044	9.74E-112	403
FVXD-5913	Tc09v2_t021590.4	79.574	563	115	0	5	567	482	1044	9.74E-112	403
FVXD-5913	Tc09v2_t021590.2	79.574	563	115	0	5	567	482	1044	9.74E-112	403
IZNU-5913	Tc09v2_t021590.3	78.436	844	161	14	4	838	406	1237	4.87E-150	531
IZNU-5913	Tc09v2_t021590.1	78.436	844	161	14	4	838	406	1237	4.87E-150	531
IZNU-5913	Tc09v2_t021590.4	78.436	844	161	14	4	838	406	1237	4.87E-150	531
IZNU-5913	Tc09v2_t021590.2	78.436	844	161	14	4	838	406	1237	4.87E-150	531
NUZN-5913	Tc09v2_t021590.3	84.675	1031	153	4	13	1039	217	1246	0	1024
NUZN-5913	Tc09v2_t021590.1	84.675	1031	153	4	13	1039	217	1246	0	1024
NUZN-5913	Tc09v2_t021590.4	84.675	1031	153	4	13	1039	217	1246	0	1024
NUZN-5913	Tc09v2_t021590.2	84.675	1031	153	4	13	1039	217	1246	0	1024
SVVG-5913	Tc09v2_t021590.3	84.379	845	128	4	1	843	406	1248	0	826
SVVG-5913	Tc09v2_t021590.1	84.379	845	128	4	1	843	406	1248	0	826
SVVG-5913	Tc09v2_t021590.4	84.379	845	128	4	1	843	406	1248	0	826
SVVG-5913	Tc09v2_t021590.2	84.379	845	128	4	1	843	406	1248	0	826
WYIG-5913	Tc09v2_t021590.3	90.238	1178	113	2	1	1177	76	1252	0	1537
WYIG-5913	Tc09v2_t021590.1	90.238	1178	113	2	1	1177	76	1252	0	1537
WYIG-5913	Tc09v2_t021590.4	90.238	1178	113	2	1	1177	76	1252	0	1537
WYIG-5913	Tc09v2_t021590.2	90.238	1178	113	2	1	1177	76	1252	0	1537
OLXF_grafted_with_NUZN-5913	Tc09v2_t021590.3	84.3	1172	158	15	1	1147	76	1246	0	1122
OLXF_grafted_with_NUZN-5913	Tc09v2_t021590.1	84.3	1172	158	15	1	1147	76	1246	0	1122
OLXF_grafted_with_NUZN-5913	Tc09v2_t021590.4	84.3	1172	158	15	1	1147	76	1246	0	1122
OLXF_grafted_with_NUZN-5913	Tc09v2_t021590.2	84.3	1172	158	15	1	1147	76	1246	0	1122
OLXF-7067	Tc02v2_t030010.1	92.929	396	28	0	1	396	55	450	2.72E-164	577
ZSAB-7067	Tc02v2_t030010.1	89.646	396	41	0	1	396	55	450	1.3E-142	505
HAEU-6979	Tc02v2_t028720.1	83.013	677	111	4	1	675	166	840	4.68E-174	610
LWDA-6979	Tc02v2_t028720.1	83.476	817	128	6	3	816	91	903	0	754
ZSAB_grafted_with_HAEU-6979	Tc02v2_t028720.1	88.394	741	83	3	1	741	166	903	0	889
OMDH-5339	Tc04v2_t023930.1	78.364	1553	315	14	1	1541	421	1964	0	987
QSKP-5339	Tc04v2_t023930.1	76.725	1087	240	9	10	1088	247	1328	1.23E-168	593
WYIG_grafted_with_OMDH-5339	Tc04v2_t023930.1	81.355	1550	274	9	1	1541	421	1964	0	1247
OLXF-5339	Tc04v2_t023930.1	87.692	1170	144	0	1	1170	238	1407	0	1363
SLYR-6048	Tc04v2_t001770.2	84.768	302	45	1	1	302	76	376	1.39E-81	302
SLYR-6048	Tc04v2_t001770.3	84.768	302	45	1	1	302	76	376	1.39E-81	302
SLYR-6048	Tc04v2_t001770.1	84.768	302	45	1	1	302	76	376	1.39E-81	302
THHD-6048	Tc04v2_t001770.2	89.691	291	30	0	8	298	83	373	1.04E-102	372
THHD-6048	Tc04v2_t001770.3	89.691	291	30	0	8	298	83	373	1.04E-102	372
THHD-6048	Tc04v2_t001770.1	89.691	291	30	0	8	298	83	373	1.04E-102	372
ZSAB-6048	Tc04v2_t001770.2	89.179	268	28	1	54	321	112	378	5.24E-91	333
ZSAB-6048	Tc04v2_t001770.3	89.179	268	28	1	54	321	112	378	5.24E-91	333
ZSAB-6048	Tc04v2_t001770.1	89.179	268	28	1	54	321	112	378	5.24E-91	333
NUZN-7279	Tc04v2_t015390.1	83.388	915	150	2	1	914	259	1172	0	846
NUZN-7279	Tc04v2_t015390.2	83.404	711	118	0	1	711	259	969	0	660
WYIG-7279	Tc04v2_t015390.1	89.67	910	88	4	5	908	266	1175	0	1155
WYIG-7279	Tc04v2_t015390.2	89.347	704	69	4	5	702	266	969	0	880
CPKP-7324	Tc07v2_t003910.1	80.897	602	115	0	1	602	430	1031	1.58E-133	475
MVSE-7324	Tc07v2_t003910.1	84.402	686	107	0	1	686	340	1025	0	675
ZSAB-7324	Tc07v2_t003910.1	88.312	693	81	0	1	693	340	1032	0	832
WYIG_grafted_with_MVSE-7324	Tc07v2_t003910.1	84.416	693	90	1	1	675	340	1032	0	667
HAEU-5870	Tc02v2_t008790.2	85.496	393	56	1	7	398	351	743	1.07E-113	409
MAQO-5870	Tc02v2_t008790.2	80.463	691	131	4	1	689	55	743	1.79E-148	525
MAQO-5870	Tc02v2_t008790.1	82.883	444	74	2	1	443	55	497	4.07E-110	398
ZSAB-5870	Tc02v2_t008790.2	90.751	692	64	0	2	693	56	747	0	924
ZSAB-5870	Tc02v2_t008790.1	91.403	442	38	0	2	443	56	497	6.22E-173	606
OLXF-5870	Tc02v2_t008790.2	89.695	689	59	4	2	678	56	744	0	881
OLXF-5870	Tc02v2_t008790.1	89.318	440	35	4	2	429	56	495	2.23E-157	555
EDXZ-6387	Tc04v2_t015240.1	83.883	788	123	4	25	810	187	972	0	749
EDXZ-6387	Tc04v2_t015240.2	83.883	788	123	4	25	810	262	1047	0	749
EDXZ-6387	Tc04v2_t015240.3	83.883	788	123	4	25	810	262	1047	0	749
EDXZ-6387	Tc04v2_t015240.4	83.883	788	123	4	25	810	262	1047	0	749
HKMQ-6387	Tc04v2_t015240.1	78.113	795	168	6	18	809	183	974	1.28E-140	499
HKMQ-6387	Tc04v2_t015240.2	78.113	795	168	6	18	809	258	1049	1.28E-140	499
HKMQ-6387	Tc04v2_t015240.3	78.113	795	168	6	18	809	258	1049	1.28E-140	499
HKMQ-6387	Tc04v2_t015240.4	78.113	795	168	6	18	809	258	1049	1.28E-140	499
HQRJ-6387	Tc04v2_t015240.1	84.094	811	129	0	2	812	164	974	0	784
HQRJ-6387	Tc04v2_t015240.2	84.094	811	129	0	2	812	239	1049	0	784
HQRJ-6387	Tc04v2_t015240.3	84.094	811	129	0	2	812	239	1049	0	784
HQRJ-6387	Tc04v2_t015240.4	84.094	811	129	0	2	812	239	1049	0	784
ZSSR-6387	Tc04v2_t015240.1	82.452	775	134	2	22	795	184	957	0	676
ZSSR-6387	Tc04v2_t015240.2	82.452	775	134	2	22	795	259	1032	0	676
ZSSR-6387	Tc04v2_t015240.3	82.452	775	134	2	22	795	259	1032	0	676
ZSSR-6387	Tc04v2_t015240.4	82.452	775	134	2	22	795	259	1032	0	676
WYIG_grafted_with_HQRJ-6387	Tc04v2_t015240.1	89.149	811	88	0	2	812	164	974	0	1011
WYIG_grafted_with_HQRJ-6387	Tc04v2_t015240.2	89.149	811	88	0	2	812	239	1049	0	1011
WYIG_grafted_with_HQRJ-6387	Tc04v2_t015240.3	89.149	811	88	0	2	812	239	1049	0	1011
WYIG_grafted_with_HQRJ-6387	Tc04v2_t015240.4	89.149	811	88	0	2	812	239	1049	0	1011
JGYZ-6492	Tc02v2_t025050.1	83.114	533	84	6	13	542	247	776	3.07E-135	481
KPTE-6492	Tc02v2_t025050.1	88.302	530	62	0	15	544	249	778	0	636
TIUZ-6492	Tc02v2_t025050.1	85.472	530	77	0	15	544	249	778	6.41E-157	553
HAEU-6034	Tc03v2_t024790.1	85.927	604	80	3	1	600	232	834	0	640
HAEU-6034	Tc03v2_t024790.2	85.927	604	80	3	1	600	232	834	0	640
OLXF_grafted_with_HAEU-6034	Tc03v2_t024790.1	91.542	603	51	0	1	603	232	834	0	832
OLXF_grafted_with_HAEU-6034	Tc03v2_t024790.2	91.542	603	51	0	1	603	232	834	0	832
IHCQ-7363	Tc05v2_t005820.2	80.038	531	95	6	1	521	160	689	8.51E-106	383
IHCQ-7363	Tc05v2_t005820.1	79.887	532	91	10	1	521	160	686	1.42E-103	375
INQX-7363	Tc05v2_t005820.2	82.274	519	90	2	13	530	172	689	3.02E-125	448
INQX-7363	Tc05v2_t005820.1	82.081	519	88	4	13	530	172	686	1.82E-122	438
TORX-7363	Tc05v2_t005820.2	81.761	477	79	6	64	536	211	683	1.47E-108	392
TORX-7363	Tc05v2_t005820.1	81.551	477	77	8	64	536	211	680	8.84E-106	383
OLXF-7363	Tc05v2_t005820.2	90.943	530	48	0	1	530	160	689	0	713
OLXF-7363	Tc05v2_t005820.1	90.377	530	48	1	1	530	160	686	0	693
QUTB-7111	Tc05v2_t007740.2	84.853	614	93	0	1	614	313	926	7.12E-177	619
QUTB-7111	Tc05v2_t007740.3	84.853	614	93	0	1	614	313	926	7.12E-177	619
QUTB-7111	Tc05v2_t007740.1	84.853	614	93	0	1	614	307	920	7.12E-177	619
YKQR-7111	Tc05v2_t007740.2	85.065	616	84	5	1	615	313	921	2E-177	621
YKQR-7111	Tc05v2_t007740.3	85.065	616	84	5	1	615	313	921	2E-177	621
YKQR-7111	Tc05v2_t007740.1	85.065	616	84	5	1	615	307	915	2E-177	621
WYIG_grafted_with_AUIP-7111	Tc05v2_t007740.2	88.274	614	72	0	1	614	313	926	0	736
WYIG_grafted_with_AUIP-7111	Tc05v2_t007740.3	88.274	614	72	0	1	614	313	926	0	736
WYIG_grafted_with_AUIP-7111	Tc05v2_t007740.1	88.274	614	72	0	1	614	307	920	0	736
ZSAB_grafted_with_AUIP-7111	Tc05v2_t007740.2	88.78	615	67	2	1	614	313	926	0	752
ZSAB_grafted_with_AUIP-7111	Tc05v2_t007740.3	88.78	615	67	2	1	614	313	926	0	752
ZSAB_grafted_with_AUIP-7111	Tc05v2_t007740.1	88.78	615	67	2	1	614	307	920	0	752
QUTB-6864	Tc04v2_t012370.1	88.554	332	38	0	1	332	286	617	4.09E-112	403
VYGG-6864	Tc04v2_t012370.1	86.62	426	55	2	1	425	193	617	5.16E-132	470
OLXF_grafted_with_QUTB-6864	Tc04v2_t012370.1	92.56	336	25	0	1	336	286	621	5.11E-136	483
WYIG-6864	Tc04v2_t012370.1	93.26	549	37	0	1	549	73	621	0	809
ZSAB_grafted_with_QUTB-6864	Tc04v2_t012370.1	94.041	386	23	0	1	386	235	620	4.4E-167	586
Theca-v1.1-7241	Tc01v2_t026580.1	99.832	597	1	0	1	597	136	732	0	1098
HAEU-7313	Tc04v2_t008790.1	85.58	319	46	0	1	319	439	757	3.34E-91	335
SVVG-7313	Tc04v2_t008790.1	87.736	318	39	0	1	318	439	756	1.09E-102	372
ZSAB-7313	Tc04v2_t008790.1	89.84	935	95	0	1	935	439	1373	0	1201
OLXF-7313	Tc04v2_t008790.1	88.639	933	106	0	1	933	439	1371	0	1136
WYIG_grafted_with_SVVG-7313	Tc04v2_t008790.1	90.566	318	30	0	1	318	439	756	1.06E-117	422
HAEU-6050	Tc09v2_t007800.1	88.32	762	87	2	1	761	310	1070	0	913
HAEU-6050	Tc09v2_t007800.2	88.32	762	87	2	1	761	484	1244	0	913
NXOH-6050	Tc09v2_t007800.1	83.681	766	121	4	1	764	310	1073	0	719
NXOH-6050	Tc09v2_t007800.2	83.681	766	121	4	1	764	484	1247	0	719
OLXF_grafted_with_HAEU-6050	Tc09v2_t007800.1	90.013	761	76	0	1	761	310	1070	0	985
OLXF_grafted_with_HAEU-6050	Tc09v2_t007800.2	90.013	761	76	0	1	761	484	1244	0	985
ZSAB-6050	Tc09v2_t007800.1	93.072	765	53	0	1	765	310	1074	0	1120
ZSAB-6050	Tc09v2_t007800.2	93.072	765	53	0	1	765	484	1248	0	1120
WYIG-6050	Tc09v2_t007800.1	94.488	762	42	0	1	762	310	1071	0	1175
WYIG-6050	Tc09v2_t007800.2	94.488	762	42	0	1	762	484	1245	0	1175
ZSAB-5942	Tc09v2_t025560.1	86.678	593	77	2	1	592	190	781	0	656
Vitvi-Genoscope.12X-5933	Tc01v2_t023230.2	83.56	663	109	0	4	666	520	1182	2.13E-177	621
Vitvi-Genoscope.12X-5933	Tc01v2_t023230.1	81.448	663	102	4	4	666	520	1161	6.18E-148	523
OLXF-5933	Tc01v2_t023230.2	90.196	612	60	0	7	618	217	828	0	798
OLXF-5933	Tc01v2_t023230.2	87.697	317	39	0	620	936	860	1176	1.22E-101	370
OLXF-5933	Tc01v2_t023230.1	87.908	612	53	3	7	618	217	807	0	701
OLXF-5933	Tc01v2_t023230.1	87.697	317	39	0	620	936	839	1155	1.22E-101	370
WYIG_grafted_with_NUZN-5910	Tc03v2_t011530.1	85.393	712	87	7	1	696	271	981	0	723
HLJG-5220	Tc06v2_t014570.1	79.422	588	103	12	1	573	181	765	9.29E-111	399
HLJG-5220	Tc06v2_t014570.2	79.019	591	103	13	1	573	181	768	2.6E-106	385
SVVG-5220	Tc06v2_t014570.1	81.897	580	105	0	5	584	185	764	5.48E-138	490
SVVG-5220	Tc06v2_t014570.2	81.475	583	105	1	5	584	185	767	1.53E-133	475
VTLJ-5220	Tc06v2_t014570.1	80.208	576	106	7	1	572	181	752	1.57E-118	425
VTLJ-5220	Tc06v2_t014570.2	79.965	579	105	9	1	572	181	755	9.43E-116	416
OLXF_grafted_with_HLJG-5220	Tc06v2_t014570.1	87.692	585	72	0	1	585	181	765	0	682
OLXF_grafted_with_HLJG-5220	Tc06v2_t014570.2	87.245	588	72	1	1	585	181	768	0	667
Ambtr-5163	Tc08v2_t012630.1	78.298	1645	341	11	37	1670	37	1676	0	1046
HAEU-5163	Tc08v2_t012630.1	84.913	981	146	2	1	980	136	1115	0	990
LKKX-5163	Tc08v2_t012630.1	80.608	1119	197	8	2	1101	32	1149	0	846
QUTB-5163	Tc08v2_t012630.1	85.133	1695	248	4	1	1693	1	1693	0	1731
ZSAB_grafted_with_QUTB-5163	Tc08v2_t012630.1	86.136	1695	231	4	1	1693	1	1693	0	1827
OLXF-6882	Tc06v2_t012510.1	87.398	738	84	4	1	738	28	756	0	839
HYZL-5463	Tc01v2_t011690.1	86.937	444	58	0	1	444	79	522	6.83E-141	499
ZSAB-5463	Tc01v2_t011690.1	91.751	497	41	0	1	497	28	524	0	691
WYIG-5463	Tc01v2_t011690.1	93.096	449	31	0	1	449	76	524	0	658
LWDA-6652	Tc07v2_t008860.1	82.67	1356	216	10	3	1347	387	1734	0	1184
QTJY-6652	Tc07v2_t008860.1	80.227	971	180	12	74	1041	770	1731	0	719
UMUL-6652	Tc07v2_t008860.1	78.141	1345	280	12	3	1340	387	1724	0	843
ZSAB-6652	Tc07v2_t008860.1	91.723	1184	98	0	20	1203	554	1737	0	1644
WYIG_grafted_with_LWDA-6652	Tc07v2_t008860.1	86.404	1346	167	6	1	1332	388	1731	0	1459
FCCA-6779	Tc05v2_t016050.1	82.378	698	121	2	6	702	237	933	6.3E-173	606
MAQO-6779	Tc05v2_t016050.1	78.663	703	142	6	1	699	232	930	5.19E-129	460
WYIG_grafted_with_QUTB-6779	Tc05v2_t016050.1	86.017	708	72	11	1	708	253	933	0	737
NGRR-5434	Tc04v2_t002450.3	85.234	684	101	0	1	684	19	702	0	704
VYGG-5434	Tc05v2_t023680.1	87.207	555	71	0	1	555	13	567	0	632
HAEU-6859	Tc09v2_t017120.1	86.111	720	92	7	13	728	109	824	0	769
HKMQ-6859	Tc09v2_t017120.1	80.256	937	181	4	1	935	133	1067	0	702
JSZD-6859	Tc09v2_t017120.1	86.088	726	101	0	1	726	349	1074	0	782
RZTJ-6859	Tc09v2_t017120.1	84.799	796	119	2	1	795	280	1074	0	798
OLXF-6859	Tc09v2_t017120.1	90.956	973	88	0	9	981	102	1074	0	1310
WYIG-6859	Tc09v2_t017120.1	87.449	980	106	13	3	972	102	1074	0	1112
THHD-5477	Tc01v2_t029530.2	85.945	619	87	0	3	621	69	687	0	662
THHD-5477	Tc01v2_t029530.1	85.945	619	87	0	3	621	69	687	0	662
ZSAB_grafted_with_THHD-5477	Tc01v2_t029530.2	86.591	619	83	0	3	621	69	687	0	684
ZSAB_grafted_with_THHD-5477	Tc01v2_t029530.1	86.591	619	83	0	3	621	69	687	0	684
OLXF_grafted_with_THHD-5477	Tc01v2_t029530.2	87.561	619	77	0	3	621	69	687	0	717
OLXF_grafted_with_THHD-5477	Tc01v2_t029530.1	87.561	619	77	0	3	621	69	687	0	717
HAEU-6528	Tc09v2_t007330.1	85.891	404	57	0	16	419	178	581	2.45E-120	431
TRRQ-6528	Tc09v2_t007330.1	81.649	376	65	3	58	431	217	590	1.21E-83	309
OLXF-6528	Tc09v2_t007330.1	90.888	428	39	0	1	428	163	590	1.07E-163	575
WYIG-6528	Tc09v2_t007330.1	89.84	374	23	1	1	359	217	590	1.54E-131	468
TIUZ-6114	Tc05v2_t009470.1	81.227	554	96	6	21	573	270	816	5.47E-123	440
ZSAB_grafted_with_TIUZ-6114	Tc05v2_t009470.1	84.587	545	84	0	23	567	272	816	1.44E-153	542
OLXF-5090	Tc03v2_t023890.1	90.419	501	48	0	1	501	214	714	0	660
NUZN-6526	Tc01v2_t032180.1	83.614	415	62	5	1	412	403	814	1.87E-106	385
WWKL-6526	Tc01v2_t032180.1	85.401	411	60	0	1	411	403	813	3.01E-119	427
BZDF-5326	Tc02v2_t011560.1	77.91	1263	250	24	10	1259	322	1568	0	760
ZRIN-5326	Tc02v2_t011560.1	77.046	1063	232	11	63	1119	618	1674	4.92E-171	601
OLXF-5326	Tc02v2_t011560.1	91.373	1333	98	5	1	1332	322	1638	0	1808
VVPY-6639	Tc02v2_t017690.1	85.474	475	68	1	9	482	534	1008	3.54E-139	494
VYGG-6639	Tc02v2_t017690.1	86.709	474	63	0	37	510	541	1014	3.65E-149	527
WYIG_grafted_with_VVPY-6639	Tc02v2_t017690.1	88.213	526	59	3	10	533	484	1008	1.33E-178	625
OLXF-6639	Tc02v2_t017690.1	86.151	621	84	2	1	620	388	1007	0	669
ZSAB_grafted_with_VVPY-6639	Tc02v2_t017690.1	85.38	513	71	2	217	725	496	1008	1.47E-149	529
ATFX-6216	Tc06v2_t003370.6	86.073	955	121	6	3	948	186	1137	0	1016
ATFX-6216	Tc06v2_t003370.3	85.969	898	114	6	3	891	186	1080	0	950
ATFX-6216	Tc06v2_t003370.4	85.163	674	87	9	3	673	186	849	0	678
ATFX-6216	Tc06v2_t003370.1	84.226	691	86	11	3	673	186	873	0	651
ATFX-6216	Tc06v2_t003370.5	86.859	312	35	5	3	311	186	494	7.44E-94	344
MRKX-6216	Tc06v2_t003370.6	82.647	899	148	7	26	920	209	1103	0	789
MRKX-6216	Tc06v2_t003370.3	82.554	877	145	7	26	898	209	1081	0	765
MRKX-6216	Tc06v2_t003370.4	80.215	652	114	11	26	673	209	849	2.54E-133	475
MRKX-6216	Tc06v2_t003370.1	81.917	553	91	8	26	574	209	756	2.56E-128	459
PAZJ-6216	Tc06v2_t003370.6	86.098	820	114	0	1	820	316	1135	0	883
PAZJ-6216	Tc06v2_t003370.3	86.144	765	106	0	1	765	316	1080	0	826
